"Horse","Date","Trainer","Death","id"
"Along (IRE)","Nov. 7, 2022","Chad C. Brown","Euthanized at Saratoga Rood & Riddle Equine Hospital after being hospitalized for 3 weeks",205
"Upgrade","Oct. 3, 2022","Todd A. Pletcher","Training death on Oklahoma Track",204
"Clear The Deck","Sep. 10, 2022","Kenneth G. Mcpeek","Euthanized at Rood & Riddle Equine Hospital due to injuries suffered while training at Oklahoma training track",203
"Union Of Thoughts","Sep. 4, 2022","Jena M. Antonucci","Sustained leg injuries while breezing and euthanized on track",202
"A Cut Ahead 20","Aug. 21, 2022","Leah A. Gyarmati","While breezing at the Saratoga Main was pulled up at the 9/16 pole after sustaining an injury, euthanized on track by Dr. Hunt",201
"Rush To Honor","Aug. 18, 2022","Christopher J. Englehart","Horse vanned off after the wire by horse ambulance",200
"Answer In","Aug. 17, 2022","Danny A. Gargan","Euthanized after developing laminitis",199
"Salt Cay","Aug. 11, 2022","Chad C. Brown","Horse suffered an injury during race #1  at the 3/16 was pulled up & vanned off by horse ambulance, euthanized due to injury",198
"Awesome Gerry","Aug. 10, 2022","Saffie Joseph Jr","Sustained leg injury and euthanized",197
"Practice Squad","Aug. 10, 2022","Joe Sharp","Sustained leg injury while training and euthanized on track, rider not injured",196
"Credit Event","Aug. 6, 2022","Chad C. Brown","Sustained a fracture while breezing on the Saratoga Main, euthanized due to his injury",195
"Plurality","Aug. 6, 2022","Chad C. Brown","Horse collided with another horse on the Saratoga Main and became colickly, euthanized due to his injuries",194
"Vindatude","Jul. 3, 2022","George R. Weaver","Collapsed while jogging and died, falling and pinning the exercise rider Cindy Hutter",193
"Supernova","Jun. 22, 2022","Danny A. Gargan","Apparent peritonitis",192
"Range War","Jun. 3, 2022","Todd A. Pletcher","Unraced colt injured on Oklahoma training track in Saratoga while breezing",191
"On The Dean's List","Oct. 15, 2021","Melvin C. Winney","Sustained anaphylactic reaction to antibiotics and subsequently euthanized when unresponsive to further treatment",190
"Madrone","Oct. 8, 2021","Chad C. Brown","Sent to Rood & Riddle for neurologic disorder, EPM diagnosed, subsequently euthanized due to poor prognosis",189
"Cirona","Sep. 10, 2021","Chad C. Brown","Pulled up lame while breezing ambulanced to barn with suspected pelvic injury, subsequently euthanized",188
